institution,collection,series,specimen,code,label_name,name,abnormal_side,maturity,sex,collector,identified_by,datum,continent,country,state_province,county_district,city,specific_locality,collection_mode,dec_lat,dec_long,date,previous_identifications,label_comments,comments,X,X.1,X.2,X.3,species
CRI,PCHP,,1176,PCHP1176,,Graptemys geographica,NA,adult,f,M. Bennet,,,North America,USA,Michigan,,,,,NA,NA,,NA,Ad. Female. Michigan (M. Bennett),,,,,,Graptemys geographica
CRI,PCHP,,7718,PCHP7718,,Graptemys versa,NA,adult,f,,,,no data,no data,no data,no data,no data,,,NA,NA,,NA,Adult female, No data,,,,,Graptemys versa
CRI,PCHP,,11909,PCHP11909,,Graptemys nigrinoda,NA,adult,f,T. Walsh,,,North America,USA,,,,,,NA,NA,2006,NA,Ad. Female, USA: No data, T. Walsh 2006,,,,Graptemys nigrinoda
CRI,PCHP,,7598,PCHP7598,,Geoclemys hamiltonii,NA,subadult,,W. Hill,,,Asia,Bangladesh,,,,,Captive hatched,NA,NA,2002,NA,"Subadult.. Bangladesh. Captive hatched. Don. W. Hill, 2002",,,,,,Geoclemys hamiltonii
CRI,PCHP,,4063,PCHP4063,,Hardella thurjii,NA,subadult,f,William McCord,,,Asia,Bangladesh,,,Dacca,,market,NA,NA,1993,NA,"Subad. Female. Bangladesh: Dacca mkt. W. McCord, 1993.",,,,,,Hardella thurjii
CRI,PCHP,,2730,PCHP2730,,Hardella thurjii,NA,adult,,William McCord,,,Asia,Bangladesh,,,Dacca,,,NA,NA,,NA,Bangladesh. Dacca. Ad. Male. Ex. W. McCord,"Eroded sulcus of landmarks 151 and 152, approximate digitisation.",,,,,Hardella thurjii
CRI,PCHP,,3221,PCHP3221,,Hardella thurjii,NA,adult,m,William McCord,,,Asia,Bangladesh,,,Dacca,,market,NA,NA,1991,NA,"Ad. Male. Bangladesh: Dacca Mrt. W. McCord, 1991",,,,,,Hardella thurjii
CRI,PCHP,,5467,PCHP5467,,Heosemys spinosa,NA,adult,m,,,,no data,no data,no data,no data,no data,,,NA,NA,,NA,Ad male, No data,,,,,Heosemys spinosa
CRI,PCHP,,5402,PCHP5402,,Heosemys spinosa,NA,adult,,William McCord,,,,,,,,,,NA,NA,1998,NA,Ad, McCord 1998,Erased sutures,,,,Heosemys spinosa
CRI,PCHP,,67,PCHP67,,Heosemys spinosa,NA,adult,,,,,,,,,,,,NA,NA,,NA,No data,No plastral concavity: female,,,,,Heosemys spinosa
CRI,PCHP,,7570,PCHP7570,,Heosemys depressa,NA,adult,m,William McCord,,,Asia,Burma,Arakan,,,,,NA,NA,2003,NA,Burma: Akaran, Ad. Male, Don. W. McCord 2003,,,,Heosemys depressa
CRI,PCHP,,7543,PCHP7543,,Heosemys grandis,NA,adult,m,A. Weinburg,,,,,,,,"Hong Kong, possibly Malaysian origin",confiscation,NA,NA,2002,NA,Adult male, Malaysia?: Hong-Kong confiscation, Ex. A. Weinburg: 2002,,,,Heosemys grandis
CRI,PCHP,,2371,PCHP2371,,Pangshura tecta,NA,adult,f,William McCord,,,Asia,Pakistan,,,,,,NA,NA,1986,NA,Ad. Female (9 eggs). Pakistan, W. McCord 1986,,,,,Pangshura tecta
CRI,PCHP,,2624,PCHP2624,,Morenia petersi,NA,adult,,William McCord,,,Asia,Bangladesh,,,Dhaka,near the city,,NA,NA,1987,NA,"Bangladesh: nr. Dhaka. Ex. W. McCord, 1987",costals 8 not in contact with each other,,,,,Morenia petersi
CRI,PCHP,,2953,PCHP2953,,Morenia petersi,NA,adult,,William McCord,,,Asia,bangladesh,,,Dhaka,,market,NA,NA,1988,NA,Bangladesh, Dhaka Mk McCord 88,costals 8 in contact with each other. This condition is more common.,,,,Morenia petersi
CRI,PCHP,,4160,PCHP4160,,Morenia ocellata,NA,adult,f,,,,Asia,China,Yunnan,,Kum-ming,"Near Ruili market, Bao Skam province",market,NA,NA,,NA,Ad. Female, China: Yunnan: Kum-ming mkt. Nr. Ruili mkt. Bao Skam prov.,,,,,Morenia ocellata
CRI,PCHP,,3442,PCHP3442,,Malayemys subtrijuga,NA,adult,f,WIlliam McCord,,,Asia,Vietnam,,,Hanoi,,market,NA,NA,1991,NA,Ad female, Vietnam, Hanoi market, McCord 1991,,,Malayemys subtrijuga
CRI,PCHP,,11959,PCHP11959,,Malaclemys terrapin terrapin,NA,adult,f,B. Atkinson,,,North America,USA,New Jersey,Cape May,Steve Harbour,,,NA,NA,2006,NA,Ad female, USA: NJ, Cape May Co.,: Stene Harbour, Steve Harbour olvd. B. Atkinson 2006,"Malaclemys, not Malayemys!",Malaclemys terrapin
CRI,PCHP,,3446,PCHP3446,,Malayemys subtrijuga,NA,adult,f,,,,Asia,Vietnam,,,Hanoi,,market,NA,NA,,NA,Ad female Vietnam: Hanoi Mk,,,,,,Malayemys subtrijuga
CRI,PCHP,,5376,PCHP5376,,Mauremys japonica,NA,adult,,,,,no data,no data,no data,no data,no data,no data,no data,NA,NA,,NA,Ad. No data.,,,,,,Mauremys japonica
CRI,PCHP,,4628,PCHP4628,,Mauremys iversoni,NA,adult,,William McCord,,,Asia,China,,,Fuchow,,,NA,NA,1996,NA,"Ad. China: Fuchow; W. McCord, May 1996",,,,,,Mauremys iversoni
CRI,PCHP,,3279,PCHP3279,,Mauremys iversoni,NA,adult,m,,,,Asia,China,Fujian,,Nanping,,,NA,NA,,NA,Ad male China: Fujian, Nanping Kaenyang,,,,,Mauremys iversoni
CRI,PCHP,,6068,PCHP6068,,Mauremys caspica,NA,adult,,,,,no data,no data,no data,no data,no data,no data,no data,NA,NA,,NA,No data,,,,,,Mauremys caspica
CRI,PCHP,,11117,PCHP11117,,Mauremys rivulata,NA,adult,m,Peter C. H. Pritchard,,,Europe,Greece,Crete,,Iraklion,west of Iraklion,,35.33641,25.05512,2006,NA,Ad. Male, Greece: Crete: West of Iraklion, PCHP: 2006, N 35_ 33641 E 25_ 05512,,,Mauremys rivulata
CRI,PCHP,,2956,PCHP2956,,Mauremys sp,NA,adult,,William McCord,,,Asia,Turkey,,,,,,NA,NA,1989,NA,"Turkey. W. McCord, 1989",caspica or rivulata? Both are present in Turkey,,,,,Mauremys sp
CRI,PCHP,,4738,PCHP4738,,Mauremys leprosa,NA,adult,,William McCord,,,,,,,,,,NA,NA,1996,NA,"No data (W. McCord, 1996)",,,,,,Mauremys leprosa
